geneSet,NES,FDR,Function,Datatype
GO:0007187,1.7059319964694661,8.6888685365666699E-2,GO,FP254CTCdt
GO:0055062,1.684051433136545,8.7659316721459796E-2,GO,FP254CTCdt
GO:0030902,1.690490848466142,8.83959496350855E-2,GO,FP254CTCdt
GO:0090594,-1.569031161,8.8515468041682296E-2,GO,FP254CTCdt
GO:0034329,1.6088422101993856,8.8693436004049706E-2,GO,FP254CTCdt
GO:1902600,-1.570887526,8.8849614285609502E-2,GO,FP254CTCdt
GO:0030323,1.6099154046190307,9.0505398433195494E-2,GO,FP254CTCdt
GO:1902414,1.5783132729129212,9.1736494243388103E-2,GO,FP254CTCdt
GO:0060004,1.6117076345610313,9.1979066704127893E-2,GO,FP254CTCdt
GO:0010975,1.6185576285493433,9.23312693159552E-2,GO,FP254CTCdt
GO:0033028,1.5840448271217773,9.3414969660039093E-2,GO,FP254CTCdt
GO:0030900,1.599704933516423,9.35078582609606E-2,GO,FP254CTCdt
GO:0042303,1.5870596445921696,9.3587250227560204E-2,GO,FP254CTCdt
GO:0071875,1.578593207,9.3645471003066499E-2,GO,FP254CTCdt
GO:0045664,1.6129573610056633,9.4107139557228298E-2,GO,FP254CTCdt
GO:0006813,1.5946962469127708,9.5245219130047604E-2,GO,FP254CTCdt
GO:0198738,1.579191784183383,9.5365630279390295E-2,GO,FP254CTCdt
GO:0030865,1.58772555,9.5631802293726698E-2,GO,FP254CTCdt
GO:0002065,1.5901978123524714,9.6224780101727206E-2,GO,FP254CTCdt
GO:0032615,-1.554878591,9.6850886798848901E-2,GO,FP254CTCdt
GO:0060976,1.5680991897685137,9.7007600497699395E-2,GO,FP254CTCdt
GO:0140115,1.5621514522032491,9.9058238859231998E-2,GO,FP254CTCdt
GO:0048736,1.5361880913695438,0.1023994589277845,GO,FP254CTCdt
GO:0035590,1.5373876714821124,0.1034794892658653,GO,FP254CTCdt
GO:0106027,1.5316805043519568,0.10382116876656414,GO,FP254CTCdt
GO:0034067,1.5522629134315837,0.10450640709470742,GO,FP254CTCdt
GO:1902742,1.5494335549878744,0.10483455810854968,GO,FP254CTCdt
GO:0055075,1.5374843400402398,0.10548016682417417,GO,FP254CTCdt
GO:0006979,-1.539855434,0.10549110211164224,GO,FP254CTCdt
GO:0042908,1.537931240309407,0.10724298605055078,GO,FP254CTCdt
GO:0002443,-1.539904294,0.10748961732696259,GO,FP254CTCdt
GO:0042063,1.5403294948624524,0.10766231173471064,GO,FP254CTCdt
GO:0010721,1.542323046525665,0.10846034277040513,GO,FP254CTCdt
GO:0002697,-1.531179447,0.10878374801205408,GO,FP254CTCdt
GO:0097193,-1.533507631,0.10904117278345292,GO,FP254CTCdt
GO:0033865,-1.515101262,0.11003471742224638,GO,FP254CTCdt
GO:0051438,-1.516691186,0.11028310934135671,GO,FP254CTCdt
GO:0007586,-1.518016167,0.11073581985547702,GO,FP254CTCdt
GO:0050817,-1.518717981,0.11193486886434807,GO,FP254CTCdt
GO:0007389,1.5148367594595162,0.11209644260910796,GO,FP254CTCdt
GO:0045116,-1.510751612,0.11227114645359801,GO,FP254CTCdt
GO:0071772,1.5182712683571804,0.11241584902631166,GO,FP254CTCdt
GO:0006766,-1.519308184,0.11310766478236192,GO,FP254CTCdt
GO:0006081,-1.52315171,0.11340848303976181,GO,FP254CTCdt
GO:0031349,-1.520839435,0.11364751288316394,GO,FP254CTCdt
GO:0051602,1.5148868503526953,0.1140465600202666,GO,FP254CTCdt
GO:1902074,1.500884070329491,0.12076217845600253,GO,FP254CTCdt
GO:0032609,-1.49166882,0.12265595812708666,GO,FP254CTCdt
GO:0035329,1.5009403906531307,0.12271972172316534,GO,FP254CTCdt
GO:0034698,-1.491987354,0.12418170972280354,GO,FP254CTCdt
GO:0097009,-1.492100079,0.12594743040330972,GO,FP254CTCdt
GO:0001890,-1.493451633,0.12675137824614693,GO,FP254CTCdt
GO:0021700,1.482255893932945,0.1315821966171647,GO,FP254CTCdt
GO:0030534,1.4859631090767316,0.1319947019094289,GO,FP254CTCdt
GO:0035272,1.4834052828634745,0.13224697313706815,GO,FP254CTCdt
GO:0106030,1.4749118667725765,0.13478523029544517,GO,FP254CTCdt
GO:0006749,-1.476988852,0.13525528471944342,GO,FP254CTCdt
GO:0042391,1.4755102040414003,0.13605313102870217,GO,FP254CTCdt
GO:0035264,1.4668068161034429,0.13612570292254905,GO,FP254CTCdt
GO:0031579,1.4693183489014614,0.13621784931091982,GO,FP254CTCdt
GO:0015669,-1.471336399,0.13754086724407413,GO,FP254CTCdt
GO:0031163,-1.469040711,0.1379340494171264,GO,FP254CTCdt
GO:0060216,1.4693968721409811,0.13831350853108784,GO,FP254CTCdt
GO:0051047,-1.472582718,0.13836366224584823,GO,FP254CTCdt
GO:0061351,1.4591894209730047,0.13944658147353103,GO,FP254CTCdt
GO:0007264,1.4567789875725208,0.13995215872170272,GO,FP254CTCdt
GO:0009595,1.4595098853165789,0.1411572820735272,GO,FP254CTCdt
GO:0031345,1.434033829188555,0.14313875378109253,GO,FP254CTCdt
GO:0098739,1.4199411812768024,0.14359029559112751,GO,FP254CTCdt
GO:0030261,1.4245762187998048,0.14400040179977106,GO,FP254CTCdt
GO:0021915,1.4465397185493456,0.14405791971220486,GO,FP254CTCdt
GO:0019932,-1.459899225,0.14417718562268342,GO,FP254CTCdt
GO:0010720,1.4226442046429288,0.14435896676541965,GO,FP254CTCdt
GO:0032495,1.430889055190554,0.14465392741032107,GO,FP254CTCdt
GO:0007163,1.4342866323760135,0.1447128628251892,GO,FP254CTCdt
GO:0045216,1.425347051850327,0.14482020947369903,GO,FP254CTCdt
GO:0007219,1.4476522634318887,0.1450352293832395,GO,FP254CTCdt
GO:0098926,1.4199490813578268,0.14524075875884163,GO,FP254CTCdt
GO:0048857,1.426692661265086,0.14527677705029435,GO,FP254CTCdt
GO:1901654,-1.460348543,0.14551529260484564,GO,FP254CTCdt
GO:0098742,1.4279423214601503,0.14588544957189076,GO,FP254CTCdt
GO:0045023,1.4345108745860695,0.14645700718509327,GO,FP254CTCdt
GO:0002064,1.4127271131642876,0.14650993516282632,GO,FP254CTCdt
GO:0030901,1.4480340983533588,0.14652849722825662,GO,FP254CTCdt
GO:0099565,1.4376902528005562,0.14713608706782336,GO,FP254CTCdt
GO:0042692,1.4133272317341106,0.1474795757148956,GO,FP254CTCdt
GO:0007606,-1.451417246,0.14779266806728364,GO,FP254CTCdt
GO:0099003,1.4346120915804084,0.14820892324805687,GO,FP254CTCdt
GO:2001233,-1.44890158,0.14839887437105898,GO,FP254CTCdt
GO:0048732,1.4383367646442486,0.14842359912574207,GO,FP254CTCdt
GO:0048545,-1.452434673,0.14873860717705806,GO,FP254CTCdt
GO:0006909,-1.446969571,0.1487583115962463,GO,FP254CTCdt
GO:0006816,1.4134173685469755,0.14900676791015402,GO,FP254CTCdt
GO:0009593,-1.453514632,0.14934982456608686,GO,FP254CTCdt
GO:0048568,1.4392928972851182,0.14949206908661192,GO,FP254CTCdt
GO:0002263,-1.437050198,0.15626257879169256,GO,FP254CTCdt
GO:0070482,-1.438675843,0.15634471659436022,GO,FP254CTCdt
GO:0071526,1.4002160566099107,0.15836160245505485,GO,FP254CTCdt
GO:0002009,1.3975638237161683,0.1594243617296879,GO,FP254CTCdt
GO:0048499,1.3926694954184324,0.16091999495310205,GO,FP254CTCdt
GO:0048678,1.393874328292867,0.16104863127614003,GO,FP254CTCdt
GO:0007224,1.390791816530302,0.16142619708750972,GO,FP254CTCdt
GO:0007369,1.3877238032702286,0.16303917891407801,GO,FP254CTCdt
GO:0043087,1.3780216448385401,0.17252214593369614,GO,FP254CTCdt
GO:0006690,-1.421570382,0.17264005275867322,GO,FP254CTCdt
GO:0032634,-1.414739059,0.17903607896540005,GO,FP254CTCdt
GO:0072089,1.365631996937494,0.18043256578559044,GO,FP254CTCdt
GO:0015844,1.3683458078667705,0.1809201601103404,GO,FP254CTCdt
GO:0048638,1.3662073296675796,0.18154663190000955,GO,FP254CTCdt
GO:0007422,1.369069431838116,0.1819011096069853,GO,FP254CTCdt
GO:0043269,1.3576900325677863,0.18420179559253885,GO,FP254CTCdt
GO:0006925,1.3532784850994184,0.1844212744574477,GO,FP254CTCdt
GO:0046530,1.3586382846250507,0.18448364206717274,GO,FP254CTCdt
GO:0043588,1.3592947615243327,0.1853127588383608,GO,FP254CTCdt
GO:0023061,1.3534276149774696,0.18591481458507414,GO,FP254CTCdt
GO:0031016,1.3598351710926804,0.18645257311611904,GO,FP254CTCdt
GO:0015698,1.3537392506590922,0.18727422270101748,GO,FP254CTCdt
GO:0000041,-1.406147113,0.18915152306559935,GO,FP254CTCdt
GO:0048863,1.3460597844784963,0.19034073791226397,GO,FP254CTCdt
GO:0055123,1.3470827681916981,0.1907312605587807,GO,FP254CTCdt
GO:0008643,1.340663810185404,0.19191002233655627,GO,FP254CTCdt
GO:0010586,1.3419816259280535,0.19207389815322104,GO,FP254CTCdt
GO:0060485,1.3427126544446624,0.19293736483066595,GO,FP254CTCdt
GO:0019226,1.337405098887444,0.1944755237766013,GO,FP254CTCdt
