"ensembl_id","Oligodendrocytes"
"ENSG00000181409",29.24070472
"ENSG00000141338",48.02701118
"ENSG00000164163",12.57130676
"ENSG00000160179",19.04858555
"ENSG00000163686",23.76057093
"ENSG00000166016",12.72149921
"ENSG00000177646",4.534234287
"ENSG00000107897",18.17872991
"ENSG00000131069",12.92846643
"ENSG00000136518",10.19930942
"ENSG00000077522",18.57597795
"ENSG00000138107",14.33165296
"ENSG00000123612",5.290215079
"ENSG00000170634",41.91098183
"ENSG00000197140",1.628751037
"ENSG00000063761",6.601221575
"ENSG00000173175",7.417948405
"ENSG00000006831",48.33523071
"ENSG00000181915",16.37974456
"ENSG00000163485",7.610923286
"ENSG00000035687",23.03268038
"ENSG00000183077",19.0384058
"ENSG00000038002",20.10470574
"ENSG00000157985",35.73195164
"ENSG00000026652",30.47215709
"ENSG00000135049",79.60029437
"ENSG00000106546",10.48357422
"ENSG00000154027",61.93763566
"ENSG00000151320",48.72585529
"ENSG00000174574",28.95552846
"ENSG00000166971",9.137237924
"ENSG00000148218",14.95646198
"ENSG00000170017",84.56041034
"ENSG00000072210",11.19596161
"ENSG00000172339",4.542758472
"ENSG00000091542",15.41901212
"ENSG00000116127",7.502125224
"ENSG00000123505",79.1096053
"ENSG00000159461",11.42503838
"ENSG00000144233",4.896403644
"ENSG00000151743",32.12474655
"ENSG00000164162",12.46935128
"ENSG00000089053",32.75078724
"ENSG00000013523",8.222740976
"ENSG00000151150",59.58718791
"ENSG00000154122",14.74482995
"ENSG00000001629",57.74669119
"ENSG00000101745",31.62755973
"ENSG00000076513",13.04051031
"ENSG00000180071",12.22166448
"ENSG00000206560",23.62392563
"ENSG00000154945",45.61766824
"ENSG00000235098",11.94056365
"ENSG00000011426",97.50598996
"ENSG00000136938",31.54126623
"ENSG00000081014",4.644083402
"ENSG00000166313",34.70697337
"ENSG00000149089",13.47010056
"ENSG00000105290",200.7753665
"ENSG00000142192",115.4282055
"ENSG00000062725",14.9284469
"ENSG00000137074",11.92614385
"ENSG00000178301",5.283742241
"ENSG00000047365",52.46854746
"ENSG00000168374",60.69619121
"ENSG00000175220",31.82815095
"ENSG00000107863",78.4190427
"ENSG00000104728",12.50436865
"ENSG00000116584",10.5579625
"ENSG00000183111",12.08611897
"ENSG00000102606",29.35636366
"ENSG00000049618",16.31244442
"ENSG00000054267",30.54427332
"ENSG00000177479",24.95418034
"ENSG00000144746",111.9470084
"ENSG00000143862",35.2824871
"ENSG00000104442",32.326301
"ENSG00000170632",8.886397082
"ENSG00000162704",24.19673349
"ENSG00000156219",10.21796685
"ENSG00000196372",4.867317695
"ENSG00000183475",4.05639207
"ENSG00000138303",19.04446361
"ENSG00000108381",50.13426795
"ENSG00000064102",16.21120488
"ENSG00000107669",23.22903706
"ENSG00000145782",10.51290122
"ENSG00000175224",15.9343792
"ENSG00000126775",11.4326128
"ENSG00000066739",9.614105123
"ENSG00000144848",31.07531457
"ENSG00000101844",4.976382678
"ENSG00000125703",89.93665081
"ENSG00000177556",17.86539091
"ENSG00000118322",22.51022232
"ENSG00000068650",9.808743729
"ENSG00000124406",66.04593406
"ENSG00000158321",46.94958104
"ENSG00000109956",10.32316548
"ENSG00000112182",13.05296873
"ENSG00000112208",2.634173374
"ENSG00000214413",10.30242805
"ENSG00000114439",28.22890023
"ENSG00000064787",91.37202634
"ENSG00000114200",20.0437951
"ENSG00000136717",37.73519878
"ENSG00000197299",2.32829174
"ENSG00000117475",13.08741458
"ENSG00000113734",4.311029893
"ENSG00000104765",66.57750488
"ENSG00000172331",14.43085403
"ENSG00000162813",6.112603154
"ENSG00000113460",9.502131123
"ENSG00000100916",12.33863604
"ENSG00000132640",41.87573177
"ENSG00000169814",6.774711924
"ENSG00000183346",14.0697869
"ENSG00000154493",65.68204728
"ENSG00000171067",5.237831087
"ENSG00000182919",8.772490376
"ENSG00000149196",19.02911141
"ENSG00000174206",2.479040528
"ENSG00000174456",45.4501444
"ENSG00000087302",24.70485819
"ENSG00000169609",4.73743339
"ENSG00000186073",5.483387266
"ENSG00000166455",6.249351276
"ENSG00000103544",18.72521954
"ENSG00000177576",19.29684829
"ENSG00000106392",17.15534777
"ENSG00000171155",20.98476208
"ENSG00000197982",41.11507298
"ENSG00000119280",42.40943367
"ENSG00000143612",47.24967547
"ENSG00000164008",7.180786031
"ENSG00000163026",2.594514422
"ENSG00000168887",15.8118836
"ENSG00000186132",14.1199234
"ENSG00000187699",9.382775542
"ENSG00000163608",9.317942399
"ENSG00000179021",10.87157426
"ENSG00000056050",36.42041455
"ENSG00000181904",12.84311518
"ENSG00000205765",11.25817084
"ENSG00000198663",9.890324726
"ENSG00000169085",33.47224521
"ENSG00000148120",29.43248142
"ENSG00000136819",11.95817569
"ENSG00000155621",14.82959513
"ENSG00000104267",260.7835597
"ENSG00000154040",6.230733152
"ENSG00000075461",2.488043087
"ENSG00000175161",195.3020927
"ENSG00000105767",22.72880662
"ENSG00000128595",26.86666113
"ENSG00000127022",56.04965854
"ENSG00000131375",13.3834854
"ENSG00000153048",7.321076913
"ENSG00000172508",101.6351564
"ENSG00000110619",5.635366644
"ENSG00000108349",19.08549427
"ENSG00000127995",27.23964221
"ENSG00000159228",108.9729805
"ENSG00000108468",18.67148456
"ENSG00000122565",17.58868808
"ENSG00000141582",5.457799116
