"ensembl_id","Microglia"
"ENSG00000175899",309.9597376
"ENSG00000103591",11.58031406
"ENSG00000127837",14.31914082
"ENSG00000131269",21.89656509
"ENSG00000103222",4.435883097
"ENSG00000125257",46.7894435
"ENSG00000144827",13.86150615
"ENSG00000100997",30.2472885
"ENSG00000131969",3.059591263
"ENSG00000139826",7.112890401
"ENSG00000158201",29.43152089
"ENSG00000136754",79.01670485
"ENSG00000143322",22.91038658
"ENSG00000159842",35.90336467
"ENSG00000120437",14.01112953
"ENSG00000182827",13.47343989
"ENSG00000100813",11.29546482
"ENSG00000123130",12.62620938
"ENSG00000151726",41.91742837
"ENSG00000068366",26.61107428
"ENSG00000075624",586.2283249
"ENSG00000138071",80.28585418
"ENSG00000115091",25.97170135
"ENSG00000101442",6.587291855
"ENSG00000113812",7.670053316
"ENSG00000137845",32.43642427
"ENSG00000151694",35.30751287
"ENSG00000042980",153.9537741
"ENSG00000168615",26.67954185
"ENSG00000184060",93.62014272
"ENSG00000121281",27.90960715
"ENSG00000159346",19.18472923
"ENSG00000156110",69.1310807
"ENSG00000101126",22.87417889
"ENSG00000159322",18.08134101
"ENSG00000116863",35.49894182
"ENSG00000141385",7.082448099
"ENSG00000119844",29.91499043
"ENSG00000204149",14.67248076
"ENSG00000160216",5.678048713
"ENSG00000173209",26.22967129
"ENSG00000186063",11.22402094
"ENSG00000164022",20.40231661
"ENSG00000004455",15.42305228
"ENSG00000121057",8.269870793
"ENSG00000108599",20.62070263
"ENSG00000170776",33.53573189
"ENSG00000166452",10.84888286
"ENSG00000135334",24.67107298
"ENSG00000117448",37.7343743
"ENSG00000085662",36.73478322
"ENSG00000059573",6.20207586
"ENSG00000184254",2.985554876
"ENSG00000253710",7.178533007
"ENSG00000101901",20.03800444
"ENSG00000119523",8.710895568
"ENSG00000120697",19.89244449
"ENSG00000088035",6.582406671
"ENSG00000159063",25.69705477
"ENSG00000100601",8.174146674
"ENSG00000136383",6.336202965
"ENSG00000133805",9.666299255
"ENSG00000153107",3.934325242
"ENSG00000166295",29.16693954
"ENSG00000174606",10.99543778
"ENSG00000176915",6.352666635
"ENSG00000164331",25.10437819
"ENSG00000088448",76.81367328
"ENSG00000167522",13.94962742
"ENSG00000132466",32.29019679
"ENSG00000065413",88.68357435
"ENSG00000168876",11.77501107
"ENSG00000139645",3.476024617
"ENSG00000106013",9.188599132
"ENSG00000140350",16.5879087
"ENSG00000196975",12.58972859
"ENSG00000164111",103.7506529
"ENSG00000136250",113.9501286
"ENSG00000100280",34.85716545
"ENSG00000166747",18.4984763
"ENSG00000132842",23.62017878
"ENSG00000120868",16.88399362
"ENSG00000077420",231.6351012
"ENSG00000138613",9.64339479
"ENSG00000166181",20.51534748
"ENSG00000157500",20.53817853
"ENSG00000136044",63.67182541
"ENSG00000242247",26.2245958
"ENSG00000164144",17.98953795
"ENSG00000132254",3.826015878
"ENSG00000165322",58.59682083
"ENSG00000075884",54.63494491
"ENSG00000140750",11.32163631
"ENSG00000146376",14.69156299
"ENSG00000138639",127.737338
"ENSG00000163219",48.66184217
"ENSG00000145819",43.26876108
"ENSG00000160007",14.50784345
"ENSG00000047648",15.24082652
"ENSG00000165801",8.388962086
"ENSG00000129675",38.8532583
"ENSG00000179361",5.250465876
"ENSG00000196843",9.414339682
"ENSG00000150347",42.78315257
"ENSG00000166233",22.53034395
"ENSG00000214087",19.35000333
"ENSG00000162980",46.03555677
"ENSG00000182196",22.92132288
"ENSG00000130429",22.51266324
"ENSG00000163466",93.13563766
"ENSG00000111229",60.41805421
"ENSG00000141480",42.02918139
"ENSG00000113369",135.7500374
"ENSG00000113273",10.53547762
"ENSG00000006756",4.766923637
"ENSG00000104763",51.75378668
"ENSG00000065802",3.634225749
"ENSG00000112249",16.0916182
"ENSG00000116539",27.79237856
"ENSG00000129691",9.082326451
"ENSG00000143970",9.054340317
"ENSG00000123268",13.20877981
"ENSG00000128272",83.82294801
"ENSG00000118217",35.49208862
"ENSG00000171681",19.77376921
"ENSG00000166669",15.42949506
"ENSG00000152348",11.64594451
"ENSG00000197548",19.1382025
"ENSG00000149311",28.25297678
"ENSG00000058063",10.71144611
"ENSG00000101974",18.35414574
"ENSG00000133657",24.60653004
"ENSG00000017260",46.53079289
"ENSG00000185344",4.126182376
"ENSG00000159720",11.87807549
"ENSG00000113732",104.9683674
"ENSG00000147416",90.04264402
"ENSG00000165240",12.7710982
"ENSG00000104043",40.44661763
"ENSG00000171953",6.520634046
"ENSG00000175054",13.04936068
"ENSG00000088812",13.70385372
"ENSG00000066427",14.01203793
"ENSG00000163635",12.90410585
"ENSG00000146776",9.63170486
"ENSG00000148090",26.89099512
"ENSG00000115307",66.95263756
"ENSG00000176597",121.9771029
"ENSG00000086062",49.65459157
"ENSG00000121578",8.886495171
"ENSG00000156273",50.86744303
"ENSG00000107262",5.95029565
"ENSG00000166170",20.62750526
"ENSG00000163930",10.07747823
"ENSG00000198604",24.47574151
"ENSG00000181004",3.834106605
"ENSG00000137936",20.89065817
"ENSG00000116752",88.17762724
"ENSG00000060982",16.21001026
"ENSG00000107949",29.49104368
"ENSG00000142867",14.10952367
"ENSG00000153094",4.007316902
"ENSG00000099968",9.328289214
"ENSG00000029363",36.66116447
"ENSG00000197580",20.88460542
"ENSG00000183337",13.30878703
"ENSG00000074582",7.92591982
"ENSG00000105829",10.79973278
"ENSG00000103429",7.452076555
"ENSG00000123095",156.7128444
"ENSG00000015475",16.95646731
"ENSG00000110934",45.36348476
"ENSG00000110330",25.56507559
"ENSG00000090013",21.65838725
"ENSG00000138756",57.03293725
"ENSG00000165733",12.60551172
"ENSG00000173068",15.68999666
"ENSG00000140299",19.1525738
"ENSG00000137274",3.904367286
"ENSG00000089234",32.13012355
"ENSG00000100425",5.435679366
"ENSG00000169925",6.968116551
"ENSG00000158019",47.04987965
"ENSG00000162819",23.65257998
"ENSG00000165288",6.813676992
"ENSG00000160058",12.96443952
"ENSG00000095564",28.81976559
"ENSG00000064726",18.30773347
"ENSG00000011114",16.60877149
"ENSG00000183826",18.10930486
"ENSG00000145741",51.09508555
"ENSG00000133639",67.64817942
"ENSG00000154640",21.36237483
"ENSG00000112763",10.56553328
"ENSG00000082153",15.40009504
"ENSG00000148655",181.1649907
"ENSG00000107738",45.80601228
"ENSG00000120029",22.24651174
"ENSG00000119965",7.766372714
"ENSG00000175573",10.92192405
"ENSG00000151131",17.82294284
"ENSG00000204954",10.12565624
"ENSG00000235162",34.58916154
"ENSG00000130731",24.41618767
"ENSG00000125149",10.90943832
"ENSG00000182831",16.98681977
