"ensembl_id","Astrocytes"
"ENSG00000166535",6.017640211
"ENSG00000094914",15.97370577
"ENSG00000109576",24.61279393
"ENSG00000157426",33.87243092
"ENSG00000008311",121.2399464
"ENSG00000165029",32.427451
"ENSG00000173208",21.08863104
"ENSG00000117528",15.59220202
"ENSG00000119688",9.200558754
"ENSG00000140526",18.49624309
"ENSG00000138443",17.50019423
"ENSG00000099204",71.86337868
"ENSG00000060971",13.03954914
"ENSG00000132142",15.59403305
"ENSG00000076555",12.61466353
"ENSG00000117054",28.56639652
"ENSG00000072778",78.76016836
"ENSG00000114331",27.00610904
"ENSG00000122729",11.03416426
"ENSG00000100412",26.60430233
"ENSG00000162390",15.04236233
"ENSG00000112304",10.98077571
"ENSG00000119673",5.945796602
"ENSG00000205669",12.1700721
"ENSG00000161533",12.97268726
"ENSG00000087008",6.300849016
"ENSG00000103740",40.89753044
"ENSG00000154930",49.53144022
"ENSG00000111058",24.72276647
"ENSG00000168803",17.24058545
"ENSG00000078295",34.31448273
"ENSG00000155897",18.20962111
"ENSG00000078549",38.41607978
"ENSG00000087274",26.93599136
"ENSG00000148700",147.0530485
"ENSG00000197894",19.52742258
"ENSG00000147576",43.81349498
"ENSG00000182551",20.95883893
"ENSG00000170425",33.82872767
"ENSG00000120907",20.14287591
"ENSG00000043591",18.85129026
"ENSG00000106351",4.169462175
"ENSG00000162688",24.778871
"ENSG00000155189",13.48403017
"ENSG00000135744",210.2291438
"ENSG00000153207",11.38880169
"ENSG00000168710",210.55159
"ENSG00000158467",76.44437703
"ENSG00000146416",32.7854423
"ENSG00000106992",15.92965801
"ENSG00000147853",48.11159342
"ENSG00000162433",27.10297771
"ENSG00000118507",21.72791047
"ENSG00000011243",20.1316746
"ENSG00000127914",28.84760022
"ENSG00000053371",9.883262875
"ENSG00000105221",4.44805861
"ENSG00000165092",75.64084465
"ENSG00000144908",18.72173895
"ENSG00000111275",114.2393736
"ENSG00000119711",20.11074241
"ENSG00000164904",27.18955536
"ENSG00000143149",37.13980535
"ENSG00000189046",6.491792139
"ENSG00000155754",3.353346822
"ENSG00000155749",6.74011784
"ENSG00000126016",14.48477375
"ENSG00000145020",8.514076595
"ENSG00000240038",18.55077554
"ENSG00000167772",80.9644941
"ENSG00000145362",70.71190959
"ENSG00000151687",17.35800745
"ENSG00000166839",49.88948962
"ENSG00000153930",14.24290245
"ENSG00000185722",8.576449194
"ENSG00000163516",8.831056363
"ENSG00000169604",14.34785918
"ENSG00000065000",9.391585566
"ENSG00000185009",10.83364335
"ENSG00000113108",11.8605635
"ENSG00000134982",97.59034779
"ENSG00000154856",36.1018374
"ENSG00000164062",11.16392625
"ENSG00000100823",43.12423829
"ENSG00000130203",277.4950503
"ENSG00000155008",48.92584799
"ENSG00000171885",379.4691293
"ENSG00000149182",15.49523753
"ENSG00000134884",150.1582493
"ENSG00000134909",31.41290976
"ENSG00000100852",71.05516876
"ENSG00000132694",8.192239883
"ENSG00000196914",26.54274647
"ENSG00000114790",51.75524464
"ENSG00000136002",28.54989023
"ENSG00000117713",16.0520985
"ENSG00000189079",13.62076967
"ENSG00000138175",20.55146318
"ENSG00000177917",19.51663796
"ENSG00000118690",17.48253169
"ENSG00000137486",13.40846118
"ENSG00000062096",5.384822706
"ENSG00000180801",4.779796164
"ENSG00000153317",34.84618905
"ENSG00000151693",33.38259734
"ENSG00000088280",8.134605018
"ENSG00000148331",11.97506662
"ENSG00000177981",16.45154202
"ENSG00000139352",6.708289226
"ENSG00000111875",26.9642526
"ENSG00000198363",65.29308369
"ENSG00000162174",33.69810262
"ENSG00000152092",30.86003038
"ENSG00000148219",27.39720898
"ENSG00000119778",10.41758196
"ENSG00000198925",5.628311447
"ENSG00000138363",18.83005737
"ENSG00000119787",31.31185119
"ENSG00000127249",105.1833057
"ENSG00000018625",329.0142041
"ENSG00000129244",427.0341285
"ENSG00000058668",27.1112336
"ENSG00000165629",59.06648704
"ENSG00000205464",8.948626044
"ENSG00000143515",4.892603555
"ENSG00000123472",21.15107137
"ENSG00000204842",19.38090376
"ENSG00000167601",80.1558544
"ENSG00000162885",13.9401916
"ENSG00000172318",4.519762599
"ENSG00000164929",86.78307668
"ENSG00000123636",54.3260408
"ENSG00000129151",39.30586194
"ENSG00000125124",65.48361217
"ENSG00000140463",15.93534308
"ENSG00000132692",61.69873983
"ENSG00000083123",43.517675
"ENSG00000171791",25.43833665
"ENSG00000113916",40.69859352
"ENSG00000186716",5.857467464
"ENSG00000161267",4.833017409
"ENSG00000122870",13.5878644
"ENSG00000151746",19.89050694
"ENSG00000115760",26.76209957
"ENSG00000101144",20.1362943
"ENSG00000107779",12.89530291
"ENSG00000138696",118.2853553
"ENSG00000145919",11.02606376
"ENSG00000112983",19.73162468
"ENSG00000189195",18.17094583
"ENSG00000005379",11.93188293
"ENSG00000149179",28.22748608
"ENSG00000111412",13.79205399
"ENSG00000227051",7.811185031
"ENSG00000133943",20.71121584
"ENSG00000139971",16.26315944
"ENSG00000108666",10.12384211
"ENSG00000224877",20.85479105
"ENSG00000116667",16.66122164
"ENSG00000162642",25.84941935
"ENSG00000125462",173.6697077
"ENSG00000088854",35.40835275
"ENSG00000196476",10.31411419
"ENSG00000115998",7.575130037
"ENSG00000135974",5.868067384
"ENSG00000204128",52.10170264
"ENSG00000088543",5.558060574
"ENSG00000187068",28.91091196
"ENSG00000154274",35.87119178
"ENSG00000106804",6.075802836
"ENSG00000243317",23.08278981
"ENSG00000156172",5.558620616
"ENSG00000189376",5.82963847
"ENSG00000160345",3.684715686
"ENSG00000164972",14.14793854
"ENSG00000185015",1.955789296
"ENSG00000178538",13.07343141
"ENSG00000134508",55.16077914
"ENSG00000158966",49.73545067
"ENSG00000067191",7.46991968
"ENSG00000165995",126.995731
"ENSG00000182985",127.2145861
"ENSG00000183166",12.46047755
"ENSG00000179218",42.49450953
"ENSG00000148660",87.29612023
"ENSG00000143919",40.7325523
"ENSG00000171735",44.45012543
"ENSG00000162909",44.28022734
