"ensembl_id","Neurons"
"ENSG00000115977",27.99112276
"ENSG00000090861",24.19421773
"ENSG00000149313",26.74952764
"ENSG00000183044",24.13860786
"ENSG00000167972",8.505122247
"ENSG00000154265",17.70738847
"ENSG00000114770",16.66480466
"ENSG00000033050",5.885038268
"ENSG00000163995",11.17970443
"ENSG00000151498",6.182317979
"ENSG00000115361",1.516936095
"ENSG00000097021",23.66810416
"ENSG00000143727",25.21077537
"ENSG00000131966",37.68326553
"ENSG00000115073",15.98287523
"ENSG00000133627",12.76717786
"ENSG00000135503",7.481893601
"ENSG00000121989",15.41642418
"ENSG00000119640",35.70792674
"ENSG00000008277",24.5036054
"ENSG00000114948",34.39143673
"ENSG00000049192",2.886145248
"ENSG00000185736",41.65484325
"ENSG00000164742",9.477656844
"ENSG00000141433",3.269561776
"ENSG00000075340",9.932374418
"ENSG00000170214",8.026691378
"ENSG00000150594",2.629069902
"ENSG00000100077",25.46319091
"ENSG00000139154",56.24769695
"ENSG00000196526",5.695826169
"ENSG00000144218",18.05593843
"ENSG00000186094",54.48324975
"ENSG00000135541",195.6742125
"ENSG00000196581",3.311550009
"ENSG00000023516",29.81762912
"ENSG00000179841",4.318752888
"ENSG00000136010",3.412556373
"ENSG00000112294",10.09854956
"ENSG00000149925",81.30396313
"ENSG00000171094",7.171539298
"ENSG00000003393",8.721203983
"ENSG00000181754",5.0047772
"ENSG00000116337",7.338140911
"ENSG00000078053",34.47413552
"ENSG00000129055",26.24377133
"ENSG00000053900",11.09475367
"ENSG00000196510",14.56642064
"ENSG00000029534",3.136737314
"ENSG00000106524",18.47411371
"ENSG00000118454",21.58733999
"ENSG00000172014",2.860100073
"ENSG00000107890",39.54844433
"ENSG00000180777",7.487257217
"ENSG00000163046",25.66465909
"ENSG00000135976",32.02343941
"ENSG00000186106",17.27884729
"ENSG00000151458",7.346136934
"ENSG00000100124",5.530404071
"ENSG00000164512",10.46938849
"ENSG00000185046",96.2306883
"ENSG00000134343",16.08996178
"ENSG00000171714",25.44651819
"ENSG00000197043",10.91546964
"ENSG00000213983",11.24629347
"ENSG00000106367",26.46105754
"ENSG00000182287",33.52298622
"ENSG00000006125",24.28777223
"ENSG00000042753",28.67342184
"ENSG00000103723",12.97008058
"ENSG00000070718",18.31322158
"ENSG00000134262",8.315538224
"ENSG00000034053",16.67234439
"ENSG00000084234",64.50957525
"ENSG00000066777",12.69914839
"ENSG00000081181",17.28331583
"ENSG00000137727",15.22816002
"ENSG00000006740",12.4081458
"ENSG00000240771",8.930260716
"ENSG00000163947",25.27872147
"ENSG00000131089",23.66692759
"ENSG00000032219",37.03272738
"ENSG00000120805",16.4247356
"ENSG00000188042",50.45716393
"ENSG00000175906",11.14779418
"ENSG00000113966",25.18038775
"ENSG00000134108",47.0319032
"ENSG00000196503",3.987837592
"ENSG00000114098",14.9488131
"ENSG00000126947",18.10665439
"ENSG00000184867",12.10553909
"ENSG00000102401",38.13005278
"ENSG00000196440",7.091109778
"ENSG00000172379",36.26113467
"ENSG00000133794",8.699213952
"ENSG00000029153",7.693242832
"ENSG00000136950",15.53746114
"ENSG00000128989",76.25462092
"ENSG00000172995",57.71019141
"ENSG00000173409",27.70986731
"ENSG00000004848",10.81798983
"ENSG00000070669",43.76825725
"ENSG00000138381",27.37574992
"ENSG00000128203",6.331712655
"ENSG00000141431",6.806928526
"ENSG00000138138",24.60167037
"ENSG00000167654",26.88252136
"ENSG00000115966",28.9824283
"ENSG00000085978",7.613579181
"ENSG00000198513",51.95142558
"ENSG00000166454",11.09812734
"ENSG00000163399",57.51507625
"ENSG00000105409",26.93135571
"ENSG00000143153",396.1587725
"ENSG00000174437",36.40051242
"ENSG00000070961",96.97306815
"ENSG00000157087",36.10411038
"ENSG00000067842",4.923394478
"ENSG00000152234",66.66463306
"ENSG00000110955",218.9628472
"ENSG00000116459",38.76684449
"ENSG00000159199",43.41314461
"ENSG00000154518",33.66940884
"ENSG00000167863",53.71931992
"ENSG00000154723",105.8268869
"ENSG00000182220",108.7320869
"ENSG00000033627",32.66241036
"ENSG00000117410",58.06053581
"ENSG00000171130",31.4238903
"ENSG00000114573",79.65732275
"ENSG00000155097",28.28134721
"ENSG00000100554",41.83228485
"ENSG00000131100",58.98684804
"ENSG00000128524",177.2914077
"ENSG00000047249",39.32892903
"ENSG00000132932",29.4401864
"ENSG00000130770",133.6344082
"ENSG00000107518",77.2295996
"ENSG00000085224",48.95494464
"ENSG00000130638",35.77944673
"ENSG00000253719",34.48086029
"ENSG00000119986",13.13774656
"ENSG00000163512",15.0139868
"ENSG00000169255",17.72106204
"ENSG00000162630",29.91533878
"ENSG00000135454",5.161353165
"ENSG00000158470",13.31912929
"ENSG00000118276",23.23915001
"ENSG00000002330",14.06963529
"ENSG00000156735",46.45579348
"ENSG00000175866",6.922040997
"ENSG00000176788",176.1577475
"ENSG00000138686",23.11738036
"ENSG00000119866",22.20838961
"ENSG00000127152",5.540192556
"ENSG00000110987",3.798434759
"ENSG00000126581",5.817629128
"ENSG00000188848",2.337241248
"ENSG00000151917",13.98555773
"ENSG00000133169",588.5258708
"ENSG00000133134",284.0277086
"ENSG00000102409",234.3279127
"ENSG00000184515",116.3402294
"ENSG00000198908",9.084481042
"ENSG00000134897",8.32116018
"ENSG00000166619",53.60990761
"ENSG00000196072",29.67639543
"ENSG00000106605",15.38104217
"ENSG00000164619",18.81239932
"ENSG00000176171",44.11402984
"ENSG00000163170",12.1976436
"ENSG00000185515",10.00148726
"ENSG00000104221",2.514295392
"ENSG00000254999",107.8116288
"ENSG00000185658",23.59300461
"ENSG00000164061",7.375907177
"ENSG00000148925",33.94011869
"ENSG00000151136",10.53358892
"ENSG00000134717",14.34139314
"ENSG00000166167",18.98438117
"ENSG00000136261",15.17317015
"ENSG00000171224",30.36842436
"ENSG00000110696",20.71315592
"ENSG00000109944",3.18563002
"ENSG00000166352",15.16100501
"ENSG00000173715",18.65703735
"ENSG00000185742",17.5881899
"ENSG00000133641",5.92748859
"ENSG00000047621",10.70659551
"ENSG00000133935",16.53355042
"ENSG00000156411",128.640334
"ENSG00000166780",44.01472554
"ENSG00000185716",14.66234572
"ENSG00000152242",8.475615573
"ENSG00000131943",10.25702633
"ENSG00000162817",14.11005141
"ENSG00000142686",14.20596675
"ENSG00000203724",4.135499823
"ENSG00000108561",22.2416767
"ENSG00000165985",1.702875399
"ENSG00000178074",13.36261868
"ENSG00000188674",44.39183213
"ENSG00000114405",32.2773133
"ENSG00000174928",8.892232487
"ENSG00000180044",4.789748961
"ENSG00000197603",14.37340893
"ENSG00000186577",22.9055558
"ENSG00000130349",11.3066901
"ENSG00000165084",12.13703357
"ENSG00000154975",34.45798836
"ENSG00000063180",45.77727241
"ENSG00000157782",31.41221841
"ENSG00000141837",25.28310679
"ENSG00000148408",25.35588496
"ENSG00000151067",17.49176235
"ENSG00000157388",13.83834576
"ENSG00000198216",9.913239644
"ENSG00000153956",37.5804838
"ENSG00000007402",2.343387349
"ENSG00000157445",62.53858901
"ENSG00000182389",24.87498929
"ENSG00000166862",18.67625991
"ENSG00000006116",43.7746782
"ENSG00000142408",14.82633311
"ENSG00000116161",26.76473071
"ENSG00000162706",27.62916434
"ENSG00000163618",43.82835507
"ENSG00000081803",30.50860037
"ENSG00000104327",8.799483381
"ENSG00000172137",44.66290793
"ENSG00000198668",280.7496413
"ENSG00000143933",324.2680251
"ENSG00000160014",89.28676003
"ENSG00000134072",17.27170418
"ENSG00000008118",15.3962727
"ENSG00000070808",47.17354232
"ENSG00000058404",28.1701075
"ENSG00000145349",41.00195622
"ENSG00000162545",166.9331681
"ENSG00000163888",15.34136356
"ENSG00000152495",17.70406767
"ENSG00000004660",7.015340899
"ENSG00000110931",12.69223759
"ENSG00000164076",46.87353537
"ENSG00000164615",39.21088691
"ENSG00000130559",6.792346854
"ENSG00000118200",35.13142562
"ENSG00000108509",5.94498527
"ENSG00000111530",14.13354357
"ENSG00000112186",91.24347633
"ENSG00000110888",21.58525306
"ENSG00000147044",10.40755477
"ENSG00000143318",3.72210095
"ENSG00000141668",26.52223355
"ENSG00000054803",15.64604918
"ENSG00000171097",11.80834918
"ENSG00000103021",3.19755121
"ENSG00000136710",11.29230091
"ENSG00000128596",15.17001511
"ENSG00000175455",9.988571147
"ENSG00000024862",38.98299463
"ENSG00000109881",5.307949983
"ENSG00000108091",11.89340096
"ENSG00000139537",18.31993148
"ENSG00000180376",15.13654429
"ENSG00000187094",374.0767742
"ENSG00000110148",5.046112357
"ENSG00000133101",4.690070667
"ENSG00000118971",29.59940351
"ENSG00000138764",12.60655939
"ENSG00000118816",97.00089054
"ENSG00000260916",14.4241762
"ENSG00000163468",23.76083669
"ENSG00000146731",30.41629041
"ENSG00000156261",41.93126674
"ENSG00000091972",57.3186373
"ENSG00000196776",57.30745503
"ENSG00000102181",15.50618584
"ENSG00000101224",13.02910139
"ENSG00000106993",12.5538017
"ENSG00000168438",15.68622657
"ENSG00000070831",55.19825476
"ENSG00000097046",9.61889381
"ENSG00000144354",1.906895589
"ENSG00000040731",76.6096089
"ENSG00000154162",59.03868081
"ENSG00000140945",47.07977373
"ENSG00000145526",77.38645
"ENSG00000081138",8.671522712
"ENSG00000150394",14.36057974
"ENSG00000113100",78.89829154
"ENSG00000058091",42.73437349
"ENSG00000156345",3.082063541
"ENSG00000164885",12.40334157
"ENSG00000176749",36.44718579
"ENSG00000132964",19.7314011
"ENSG00000138769",27.65618511
"ENSG00000008086",43.15314086
"ENSG00000129355",25.81273835
"ENSG00000100526",2.579912446
"ENSG00000129596",32.50368907
"ENSG00000064309",2.619789474
"ENSG00000140743",12.65601364
"ENSG00000101290",16.0800514
"ENSG00000048740",119.2140106
"ENSG00000159409",7.616704415
"ENSG00000101489",51.58668574
"ENSG00000161082",20.97545599
"ENSG00000166582",11.67208502
"ENSG00000198707",17.63550352
"ENSG00000166037",13.7616485
"ENSG00000114107",10.36159642
"ENSG00000139624",16.27369312
"ENSG00000172292",29.28549971
"ENSG00000172824",20.67706157
"ENSG00000147400",22.70901079
"ENSG00000138028",4.459492169
"ENSG00000172586",17.64160563
"ENSG00000159685",14.09412343
"ENSG00000100888",8.45789446
"ENSG00000100604",25.81516051
"ENSG00000089199",33.81676092
"ENSG00000134121",53.19646969
"ENSG00000188419",12.50787876
"ENSG00000128656",267.0674734
"ENSG00000133019",31.81660213
"ENSG00000120903",2.1664279
"ENSG00000147434",5.115693785
"ENSG00000175344",2.87021808
"ENSG00000160716",2.201337064
"ENSG00000147432",2.625737177
"ENSG00000144021",17.84294102
"ENSG00000122873",43.38064883
"ENSG00000145354",17.75902904
"ENSG00000122966",17.8446538
"ENSG00000175216",20.36869874
"ENSG00000223572",16.75036828
"ENSG00000237289",39.10035604
"ENSG00000153132",3.069880334
"ENSG00000105270",48.64985876
"ENSG00000113240",20.99979301
"ENSG00000134852",10.73860557
"ENSG00000171603",57.5206029
"ENSG00000158258",12.78626423
"ENSG00000139182",16.74399634
"ENSG00000175416",30.486955
"ENSG00000141367",40.14697777
"ENSG00000103351",10.20614457
"ENSG00000177182",15.2244552
"ENSG00000146352",8.896673007
"ENSG00000111726",58.78661922
"ENSG00000183723",8.01458252
"ENSG00000174871",9.043162379
"ENSG00000149970",41.0803056
"ENSG00000119946",11.5060811
"ENSG00000198791",15.0027807
