symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
EPB41L3	0.003961299064389539	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.02802069985389206	No data	No data	1	0	0	0	0	0	No data	-0.6183121897407612	-0.6381777736185498	0	No data	No data	0	-1	-1
PAGR1	0.010939933948027785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08997680320694006	No data	No data	No data	0	0	0	0	0	0.3700800000000001	No data	0.7444015444015444	-0.6191215128315863	0	No data	No data	No data	0.5	-1
CDC37	0.011221386772007982	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08749446730512427	0.01918871408449308	No data	No data	0	0	0	1	0	0.7619050000000002	No data	-0.870711527854385	-0.05373224667943238	-1	No data	No data	0	-1	-1
SNAP91	0.04601280081382387	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36782961737966957	0.042432799362399985	No data	No data	0	0	0	0	0	0.6471899999999998	No data	-0.775399889685604	-0.8506876496067647	0	No data	No data	0	0.5	0
CPNE4	0.0029666992440235893	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.01984049394662896	No data	No data	0	0	0	0	0	0.9730699999999999	No data	-0.6444567015995588	No data	0	No data	No data	-0.22351999999999989	0.75	0.5
KSR2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	1	1	1	0.8263150000000004	No data	-0.8732487589630447	0	0	No data	No data	0	0.5	0.5
OPRM1	0.09492496184389776	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.780721771432124	No data	No data	1	1	0	1	1	0	0.6125	0	0.20441257584114725	-0.7318734691478398	0	-1	No data	0	0.5	0.5
RMND5A	0.01626151360612688	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13374477547455663	No data	No data	No data	0	0	0	0	0	1	No data	-0.5521235521235521	No data	0	No data	No data	-0.2583124999999999	-1	-1
GJA8	0.004229636114724921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	No data	1	0	0	0	0	0.4341799999999999	No data	0.5158301158301157	-0.19356235634698238	0	No data	No data	0	1	1
MAPK13	0.005269182117096389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.043337022386408415	No data	No data	No data	0	0	1	1	1	0.657535	1	-0.10722559293987866	-0.2508339686824748	0	No data	No data	-0.13013750000000002	-1	0
BTG1	0.014577872045896572	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11989746286229193	No data	No data	No data	0	0	0	0	0	1	No data	-0.7325979040264754	-0.6151931518908627	0	No data	No data	-0.03508750000000003	0.5	-1
DLAT	0.08530527303293166	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7016034832259744	No data	No data	No data	0	0	0	1	1	0.27357000000000015	No data	-0.35344732487589625	-0.43423810300908944	0	No data	No data	0	0.5	-1
GRPEL1	0.003278931816427819	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.026967969292802447	No data	No data	0	0	0	0	0	0.40092	No data	0.0037506894649752542	No data	-1	No data	No data	0	-1	-1
GPN3	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	0	0	0.735915	No data	0.8548262548262548	No data	-1	No data	No data	0	-1	-1
AP3B1	0.4540410740225907	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7423528397151181	No data	No data	0.09020500609935292	No data	No data	No data	0	0	0	0	0	0.4195599999999999	No data	-0.580584666298952	-0.9102094560883911	0	No data	No data	-0.05164500000000007	-1	-1
COPS3	0.006671673812418228	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05487198410270745	No data	No data	0	0	0	0	0	0.9763599999999997	No data	-0.8469939327082184	No data	-1	No data	No data	0	-1	-1
DNAJC19	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.09483000000000033	No data	0.7138444567015996	-0.10129547872063965	0	No data	No data	0	-1	-1
ENSG00000261096	0.0018225522958662025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.014989800673254809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SENCR	0.007022017239009335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.057753425773104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC6A9	0.01527034959584698	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1255928278007927	No data	No data	0.75	0	0	1	1	0	0.8104250000000001	1	-0.6394925537782681	-0.8447136723111633	0	No data	No data	0	0.5	0
CXCL14	0.007074993310523061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05017624385953915	0.03205155995431242	No data	No data	0	1	0	0	0	0.747475	No data	0.03298400441257576	-0.8576696327081831	0	No data	No data	No data	0.5	0
VAMP5	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0	No data	0.7772752344180915	-0.6500214244032845	0	No data	No data	0	-1	-1
TTC4	0.00589274546080608	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04846559414292646	No data	No data	No data	0	0	0	0	0	0.1085250000000002	No data	-0.20264754550468833	No data	0	No data	No data	0	-1	-1
SRRM1	0.0067336590803467435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05538178939775122	No data	No data	0	0	0	0	0	0.78429	No data	-0.9404302261445119	-0.7504684048555268	-1	No data	No data	No data	-1	-1
PLAAT1	0.00263708553644346	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02168902732682555	No data	No data	0	0	0	0	0	0.19643000000000016	No data	0.4207391064533921	No data	0	No data	No data	0	0.75	0
KCNQ4	0.008759658522451906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07204486560695719	No data	No data	1	1	0	1	1	0	0.8417250000000003	No data	-0.5661334804191946	-0.12612758426523707	0	No data	No data	0	0.5	0.5
ESRP2	0.31941739241504735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5254173561693914	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6513249999999999	No data	-0.3616105901820188	-0.8077465678494089	0	No data	No data	0	0.5	0
CALD1	0.0127860573786829	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0647733377888582	0.08896713306747221	No data	No data	1	0	0	0	0	0	No data	-0.6916712630998345	-0.5313727924443545	0	No data	No data	0	-1	-1
KCNG2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	0	0	0	0.38840999999999964	No data	0.9652509652509653	-0.7069835791535952	0	No data	No data	0	0.5	1
XG	0.002771848910135263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data	No data	1	0	0	0	0	No data	No data	No data	No data	0	No data	No data	No data	0.5	0
FEZF2	0.004352334974560965	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.009440435462608974	No data	No data	0	0	0	0	0	0.7603499999999996	No data	-0.9392167677881964	-0.7161665417433039	0	No data	No data	0	1	0.5
OR4K2	0.013900308978974622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11432476388418543	No data	No data	No data	1	0	0	0	0	0.14012999999999992	No data	0.440926640926641	No data	0	No data	No data	-0.012739999999999974	No data	No data
GCK	0.24722035631712677	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3957180704470166	No data	No data	0.2188128697236828	No data	No data	0.75	0	0	1	1	1	0.7957000000000001	1	-0.177826806398235	-0.922305020944208	0	No data	No data	0	0.5	0
SNRPE	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	-0.026365140650854935	0	-1	No data	No data	No data	-1	-1
PODXL	0.004445297098107993	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.012498748149258452	No data	No data	1	0	0	0	0	0	No data	-0.56150027578599	-0.7756944526375076	0	No data	No data	No data	0.5	0
EXOSC2	0.002771848910135263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data	No data	0	0	0	0	0	0.6928350000000002	No data	0.0713734142305571	-0.750568665683399	-1	No data	No data	0	-1	-1
CDSN	0.02343154542571481	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19271556497688852	No data	No data	No data	0	1	0	0	0	0	No data	-0.33348041919470495	-0.7639765262372835	0	-1	No data	No data	1	0.5
COX6C	0.027210381043526796	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2145197636850253	0.03710115821927743	No data	No data	0	0	0	0	0	0	No data	0.4285714285714286	No data	0	No data	No data	No data	-1	-1
GLO1	0.051194520512034075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39952157624640194	0.08613567268560395	No data	No data	1	0	1	1	0	0.5108699999999999	No data	No data	-0.17073779750080204	0	No data	No data	0	-1	-1
GJB1	0.009514217392433175	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07825082583257582	No data	No data	No data	1	0	0	0	0	0.9293300000000002	No data	No data	-0.803968188870617	0	No data	No data	0	0.75	0
TOX	0.02328353084513621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19149820124766065	No data	No data	No data	0	0	0	0	0	0.7148299999999999	No data	-0.8664092664092664	-0.7754133593768189	0	No data	No data	0	1	0
RPL5	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	1	0	0	1	1	0	0.9158250000000002	No data	-0.9956977385548814	-0.8997506340313788	-1	No data	-1	No data	-1	-1
CCT5	0.006678435639802165	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05017624385953915	0.01900541482467424	No data	No data	0	0	0	0	0	0.8151550000000001	No data	-0.9346938775510204	-0.7362789256768792	-1	No data	No data	0	-1	-1
SOX2	0.051404599841835236	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39799548927076467	0.09915131149910819	No data	No data	0	0	0	0	0	0.9053649999999998	No data	-0.8842801985659129	-0.9585925193652769	0	No data	-1	-0.08517250000000001	0.5	0
ERF	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.8448900000000001	No data	-0.7490347490347491	-0.8638253219329514	0	No data	No data	0	-1	-1
H2AC15	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	No data	No data	No data	No data	No data	0.7334804191947049	No data	-1	No data	No data	-1	-1	0
AGRP	0.017861759841035607	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14690619319837997	No data	No data	No data	0	1	0	0	0	0	No data	0.21853281853281858	-0.8743457953597022	0	No data	No data	0	0.75	0.5
TMEM176A	0.007761176948378739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	No data	0	0	0	0	0	0	No data	0.21367898510755645	-0.19187701174133848	0	No data	No data	0	0.75	-1
ATP2C1	0.003114854824244566	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	0.011284373664136472	No data	No data	0	0	0	0	0	0.8367800000000003	No data	-0.7928295642581357	-0.653534401719636	0	No data	No data	-0.13765	-1	-1
GNAI3	0.015286487176824818	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12572555327745255	No data	No data	No data	0	0	0	1	1	0.9152549999999998	No data	0.2526199669056812	0	0	No data	No data	-0.8446325000000001	-1	-1
CXCR3	0.03538705413955461	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29104508505392224	No data	No data	No data	1	0	1	1	0	0.2798900000000003	No data	No data	-0.7930894137742541	0	No data	No data	0	0.5	0.5
KRR1	0.03286315531173366	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2702869754324275	No data	No data	No data	0	0	0	0	0	0.5931750000000001	No data	-0.3873138444567016	No data	-1	No data	No data	No data	-1	-1
PCDH9	0.009141968349909081	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0751892187879373	No data	No data	No data	0	0	0	0	0	0.8019399999999998	No data	-0.7855488141202427	-0.30855940329422515	0	No data	No data	0	1	0
PSMA2	0.019316927568419337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15887439527911557	No data	No data	1	0	0	1	1	0	0.9786299999999997	No data	-0.9281853281853282	No data	-1	No data	No data	0	-1	-1
RNASE2	0.024128633589876065	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19844885046678234	No data	No data	No data	0	0	0	1	0	0	No data	0.9231108659680087	0	0	No data	No data	-0.22360250000000015	1	0
SEPTIN7	0.04336511417729451	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.35666159987010954	No data	No data	No data	0	0	0	0	1	0.9542349999999999	No data	-0.8764478764478765	No data	No data	No data	No data	0	-1	-1
SCN2A	0.082824427450437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	0.27511212878990415	0.0404157635312317	No data	1	1	0	1	1	0	0.9052349999999997	1	-0.9755102040816327	-0.7879993830187495	0	No data	No data	-0.6920200000000001	1	0.5
DEFB122	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RPAP3	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0	No data	0.30601213458356313	-0.2133793286552088	-1	No data	No data	0	-1	-1
SPP1	0.11762568957894538	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.950708540969283	0.06687238960104876	No data	0.5	0	1	0	0	0	0	No data	0.5459459459459459	-0.9703598506673128	0	No data	No data	No data	0.5	0
LINC01101	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PCMTD2	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.5290849999999999	No data	-0.1792608935466078	No data	0	No data	No data	-0.1412749999999999	0.5	-1
COA3	0.007033761813061583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.0532905394535869	No data	No data	0	0	0	0	0	0.10377500000000026	No data	0.7887479316050745	No data	0	No data	No data	No data	-1	-1
TMEM131L	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	-0.7908439051296194	-0.21227635348345625	0	No data	No data	0	0.5	0
A1CF	0.009220401407958836	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07583430091206964	No data	No data	No data	0	0	0	0	0	0.6160400000000003	No data	-0.24567015995587427	-0.7772625772857191	0	No data	No data	0	1	0.5
SRPK1	0.027895682109459797	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22943139432196577	No data	No data	No data	1	0	1	1	1	0.5725200000000001	1	-0.346607832322118	No data	0	No data	No data	-0.01144999999999996	-1	-1
NPPB	0.07344581478421576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6040639417575362	No data	No data	No data	0	1	0	0	0	0	No data	0.7549917264202979	-0.5954246115931805	0	No data	No data	0	1	0.5
PLD4	0.010214776539202176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08401265883660597	No data	No data	No data	0	0	1	0	0	0	No data	0.7333701047986763	-0.6774085754284986	0	No data	No data	0	0.5	0
MSRB3	0.03476226805960619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.267549396290953	0.07342824186047371	No data	No data	0	0	0	0	0	0.6216200000000001	No data	-0.014451185879757356	-0.22737311323012016	0	No data	No data	0	0.5	-1
SREK1IP1	0.009609076221802246	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07903100368951074	No data	No data	No data	0	0	0	0	0	0.4193550000000002	No data	-0.054274682846111366	No data	0	No data	No data	No data	-1	-1
YPEL4	0.0018257157903709632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.01142881304901718	No data	No data	0	0	0	0	0	0.9606299999999998	No data	-0.5525648097076669	0	0	No data	No data	-0.4488199999999999	1	0
NUDT11	0.009383221866161596	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07717343736347523	No data	No data	No data	0	0	0	0	0	0.7865850000000002	No data	No data	No data	0	No data	No data	-0.9847549999999998	0.5	0
RRAGC	0.0035110086195046675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028876712886552	No data	No data	No data	0	0	0	0	0	0.9373449999999999	No data	-0.6373965802537231	-0.7565781964699633	0	No data	No data	-0.4360900000000001	-1	-1
RPL3	0.008609907589463365	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.06245417257123081	No data	1	0	0	1	1	0	0.9255600000000002	No data	-0.9744070601213458	No data	-1	No data	No data	-0.4416875000000001	-1	-1
ALG6	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.22090499999999977	No data	-0.13337010479867628	-0.7219162635294765	0	No data	No data	0	-1	0
STC1	0.03465834294788934	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2850517121689807	No data	No data	No data	0	1	0	0	0	0.8178150000000002	No data	-0.6227247655819084	No data	0	No data	No data	0	-1	0
SLC22A16	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0	No data	0.48063982349696643	No data	0	-1	No data	0	0.75	0.5
CSH2	0.01537982579468634	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12649322797190973	No data	No data	No data	0	1	0	0	0	0	No data	0.22162162162162158	-0.9000269974539551	0	No data	No data	-0.9884799999999998	1	0.5
CLEC1B	0.018620254367581246	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1531445227050075	No data	No data	No data	0	0	0	0	0	0	No data	0.6735797021511307	-0.9486876519747719	0	No data	No data	0	1	0.5
LAT2	0.016681397385476998	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13719816014432265	No data	No data	No data	1	0	0	0	0	0	No data	-0.41544401544401544	-0.6512769802616875	0	No data	No data	No data	0.5	-1
MT-ND6	0.014170645893757192	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11654818237066977	No data	No data	1	0	0	0	0	0	0	No data	No data	-0.2626188680297503	No data	No data	No data	No data	0.5	-1
BCORL1	0.004619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data	No data	1	0	0	0	0	0.5350149999999999	No data	No data	-0.7865083325854485	0	No data	-1	0	-1	0
TMEM151A	0.006416260411528962	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.052771305852052044	No data	No data	0	0	0	0	0	0.8717950000000002	No data	0.5340319911748483	0	0	No data	No data	0	1	0.5
ANGPTL2	0.03146219498392328	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25876460863250283	No data	No data	No data	0	1	0	0	0	0.7667349999999999	No data	-0.5145063430777717	-0.18879948248447187	0	No data	No data	0	-1	0
NDE1	0.033848600099634966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2647876362930616	0.054416993521829535	No data	No data	0	0	0	0	0	0.29850500000000013	No data	-0.20297848869277446	-0.22986827815066974	0	No data	No data	0	-1	-1
KCNMB2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.7659550000000003	No data	-0.5856591285162713	No data	0	No data	No data	0	0.5	0
PLTP	0.061207816644826434	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5034110534068491	No data	No data	No data	0	1	0	1	0	0.09736499999999992	No data	0.05791505791505802	-0.28218113022129787	0	No data	No data	0	-1	-1
USP53	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0	No data	-0.10689464975179264	-0.7106222414628968	0	No data	No data	0	-1	0
EPHA10	0.004948263609945174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.040697589506777966	No data	No data	1	1	1	0	0	0	0	No data	0.6712630998345284	0	0	No data	No data	0	0.5	0.5
TBX15	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.9335549999999998	No data	-0.7192498621070049	-0.7595997272632479	0	No data	No data	0	0.5	0
NAPSA	0.017737847080206887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1458870577859651	No data	No data	No data	0	1	0	0	0	0	No data	0.5169332597904026	No data	0	No data	No data	0	1	0.5
VPS9D1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.15214	No data	0.6061776061776061	No data	0	No data	No data	0	-1	-1
PM20D2	0.0057806480389564745	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04754363540773817	No data	No data	0	0	0	0	0	0.07109999999999986	No data	0.3922779922779922	No data	0	No data	No data	No data	-1	-1
HBG1	0.007761176948378739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	No data	No data	No data	0	0	0	No data	No data	0.7649200220628791	No data	No data	No data	No data	-0.9659875	1	0.5
BLTP1	0.005105666023725108	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03951550184475537	0.009906651020380155	No data	No data	0	0	0	0	0	0.749655	No data	-0.5956977385548814	-0.8674807846340066	0	No data	No data	No data	-1	-1
EAF2	0.014598404260045723	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12006633252829517	No data	No data	No data	0	0	0	0	0	0.0384599999999999	No data	0.2928847214561501	-0.8216641158974802	0	No data	No data	0	0.5	0
KCNK13	0.04626502024939508	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.38051222631882237	No data	No data	No data	0	0	0	0	0	0.22794000000000025	No data	-0.05217870932156643	-0.17498361299382648	0	No data	No data	-0.11764749999999999	0.5	0.5
PDK4	0.05154045445080076	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39845898122492673	0.10176675400018889	No data	0.75	0	0	1	1	1	0.6472000000000001	No data	0.4463320463320464	-0.705296167035124	0	-1	No data	-0.13017000000000004	0.5	-1
