symbol	gwasCredibleSets
APOE	0.95459478859895
CR1	0.935985578457224
TREM2	0.89221703983175
MS4A6A	0.867598465141203
SORL1	0.866141051026504
BIN1	0.862059382453275
PLCG2	0.851901943889858
APH1B	0.847450374155939
CLU	0.843073123162963
ACE	0.840513616622938
EPHA1	0.832692763884581
GRN	0.832404120712953
CASS4	0.80771699212333
CD2AP	0.799540510169193
CD33	0.79074957168911
NCK2	0.788071023504808
PICALM	0.781433213721977
INPP5D	0.777233431266871
CTSB	0.761511605329076
SHARPIN	0.753182752384211
RASGEF1C	0.749126125730391
SLC24A4	0.745787680244441
APP	0.735826302732826
ADAM10	0.724090050061399
PTK2B	0.720282408396241
TMEM106B	0.714391894678656
MS4A4E	0.709362222890612
ZNF652	0.702591668364609
NECTIN2	0.702380117335639
ATP8B4	0.701545961783893
PRSS8	0.696666126220564
IL34	0.692348404659513
PVR	0.683981283647833
TSPAN14	0.681198138141884
ABCA7	0.679080439890609
IDUA	0.674605881686643
MINDY2	0.670609200148011
PILRA	0.669494028680701
FERMT2	0.667074618671109
ABI3	0.656979812562537
CDH13	0.655841139175555
MOB3B	0.651899376143058
ABCA1	0.64879387810593
ELOVL7	0.646671265972594
ULK4	0.643514410657815
CNTNAP2	0.622532933800845
EGFR	0.622179163098873
CCDC6	0.618939333020272
PDE4B	0.615514126656998
MELK	0.609871127066032
LILRA5	0.603000713350445
LILRB2	0.601475342677322
MS4A6E	0.594122910868225
FBXL22	0.590456755216573
USP6NL	0.589135279207073
TSPOAP1	0.584922913116891
PRDM7	0.584448215746717
PRDM9	0.584020151199345
NOX4	0.580925349680284
SDK1	0.578487275820005
SDCCAG8	0.577230533588188
TBX5	0.5756483603377
ATP5F1C	0.575434548244999
EPB41L1	0.574861701237519
USP3	0.574377266646374
RIN3	0.572906315779046
ZNF568	0.572354277161133
ZFHX3	0.571140514760852
LRRC25	0.568707862637147
FAM20B	0.566323512433928
SCIMP	0.56622481975666
DDAH1	0.565611040989003
IL6R	0.563080235956733
RABEP1	0.558886507287997
DOCK3	0.557545299683374
ARMH3	0.556973739036117
SPPL2A	0.555758228272997
APOB	0.552311081818205
MMP3	0.550778755026358
PTPRN2	0.550663743551771
GLIS3	0.550519589676921
AFF3	0.549876454859791
ECHDC3	0.547104482668641
TOMM40	0.545775806738522
KMT2C	0.545280670255726
APOC1	0.544940448766747
FARP1	0.544843180955656
BARHL2	0.54286474081492
MTHFD1L	0.541677158562839
VEGFC	0.54038706608341
TRIM48	0.538633154684275
PSG2	0.538606018824782
CAV1	0.537003069044917
UBE2V2	0.536975849390832
LIPG	0.536921104345637
NBPF4	0.536732498572094
DIRAS2	0.536509360367777
IGFBP3	0.53119209073835
NCOR2	0.529102244555202
SAP30L	0.526366645540104
COX7B2	0.52627772362497
ANKRD55	0.525932906614205
TYW1	0.525392309201049
DENND1A	0.524484646180595
HCN4	0.523573540787713
TBL1XR1	0.521721145831082
ARHGAP8	0.520960345289046
BZW2	0.520877547173283
MUC19	0.520761702282214
RBCK1	0.5205716044365
TCF7L2	0.519641735471715
B3GNT2	0.519295070450489
GMPR	0.519103710779004
CAMK1D	0.517693606326093
ANO5	0.517630701499413
TLR5	0.517445320685303
MAPKAP1	0.517445320685303
NFATC2	0.517445320685303
ADGRA3	0.517445320685303
MB21D2	0.517445320685303
ANAPC1	0.517432275905576
SYBU	0.516531280216982
PSME4	0.516499900274641
KCNJ3	0.516373692030789
CCN3	0.515737106780147
RHOH	0.515643003188621
ARHGEF10L	0.515399862988723
KHDRBS2	0.514560721297331
NEGR1	0.514408097374534
CELF4	0.513734117088676
CNTNAP5	0.512328687015166
CREM	0.512157601105506
ARFGEF1	0.511898100577702
FRMD5	0.511693768597489
EED	0.510573407778084
PDE3A	0.508112360559139
SLC26A1	0.506813750724304
LRRC37A	0.506773764882348
OARD1	0.50676266068346
TEAD1	0.506360374170901
STAG1	0.506133789064718
CHRNA2	0.505892718817714
PIK3R6	0.505509854532748
JAZF1	0.504684047505076
DIO2	0.504637521124052
TNKS1BP1	0.504351804212548
CEP170	0.503576215057384
EPHX2	0.501936878042127
AUTS2	0.501511629546644
PTPN21	0.500076957425248
TCN2	0.499968250927529
CDKL1	0.49962365132976
G3BP2	0.49934768176755
MYOCOS	0.498963295591616
BCL11A	0.498955323781783
CLINT1	0.498123211777244
GRK5	0.497984574757153
MARVELD1	0.497811405306287
HAVCR2	0.497690704858319
KDM4B	0.497576123680286
EPRS1	0.497570004410352
PRRX1	0.497322588421544
NATD1	0.496680205491023
CSE1L	0.496158414301972
MRC1	0.495564333291937
MPDZ	0.495366886056581
MIB1	0.49531970743657
TESC	0.495131572724518
MSRB2	0.495131572724518
TMEM45B	0.495131572724518
SMARCC1	0.495131572724518
TSEN2	0.495131572724518
SLC38A9	0.495131572724518
FBP1	0.495131572724518
SERPINF1	0.494885062623191
NSUN4	0.494885062623191
MADD	0.494603693971595
DRC4	0.49404679058378
ADARB2	0.49398678459704
PPIG	0.493925148012833
OASL	0.493430497212712
GTF2IRD1	0.493424844474831
GPAT3	0.493424844474831
SLC6A1	0.493424844474831
ME3	0.493310956300721
PPM1D	0.493089158809875
ASCC1	0.492965269637974
TNIP1	0.492965269637974
NRIP3	0.492965269637974
PCLAF	0.492965269637974
KLHDC10	0.492965269637974
EIF4EBP2	0.492965269637974
BCCIP	0.492965269637974
ADAMTS8	0.492834966782708
CYRIB	0.492438586656526
SPRED2	0.492438586656526
ABRAXAS2	0.492384450820662
BORCS5	0.492384450820662
LGMN	0.492384450820662
RIF1	0.492384450820662
SCARB2	0.492243277315624
ZNF880	0.491705107680917
SLC39A11	0.491233538893812
TTC28	0.491233538893812
CLNK	0.491077937764413
RFX6	0.491024931124689
MORN3	0.490892006857525
CLXN	0.490769652032546
