samples,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_12588,0.29323104009942,0.267352083487558,0.234398642083325,0.056109288395118
hB_RNA_12651,0.44718051184299,0.232101675421696,0.143140747821169,0.033890535959715
hB_RNA_13330,0.329408626535998,0.238106567425049,0.236975488096534,0.04086428828831
hB_RNA_13430,0.297658401964889,0.264832892571141,0.263491299934659,0.021558395719684
hB_RNA_13441,0.167588444402499,0.307992051864886,0.340082367637808,0.036123610525445
hB_RNA_13477,0.120702242711869,0.534902140490762,0.207441512964575,0.028327512627576
BM_10_548,0.383622825557688,0.226912905462816,0.236440481846506,0.039908340948199
BM_10_549,0.342754847975322,0.199493239151475,0.35382317905867,0.037457803971946
BM_10_551,0.451836461966174,0.216658682331876,0.192383424613967,0.056509896004406
BM_10_553,0.434371536763378,0.212570718320535,0.163234539334127,0.073569884658909
BM_10_555,0.385435395354582,0.163380052502963,0.369736085056348,0.023587130255935
BM_10_558,0.29535158664103,0.236647212282966,0.343714359650286,0.050401273557949
BM_10_561,0.32997646749503,0.239751001698341,0.253110907089121,0.045323688039915
BM_10_562,0.29806141475778,0.246422460981928,0.315358288823197,0.051016444875997
BM_10_566,0.422145678427909,0.172143144438495,0.298961102882121,0.034365653226059
BM_10_569,0.348588470506131,0.198961396085611,0.332415604548965,0.04473425776045
BM_10_571,0.303303305476189,0.215253535840604,0.351255792024059,0.035943624196752
BM_10_572,0.119777723600384,0.309846468128897,0.459456768858365,0.04727515147279
BM_10_573,0.371239045808245,0.203494893172031,0.289812067444287,0.03342174516138
BM_10_576,0.531715023423962,0.218746348614523,0.141908168108724,0.03289717904111
BM_10_579,0.241875013586301,0.263748804774361,0.380910867860038,0.027407224921011
BM_10_581,0.316689131670084,0.171482431133215,0.399045450107978,0.031557734277983
BM_10_582,0.59985655779654,0.211034146921612,0.083683429450389,0.029786143076344
BM_10_584,0.386088062599376,0.217693988726363,0.264580856683637,0.045141582848294
BM_10_588,0.555915548998193,0.185709536746932,0.145100521007009,0.032701859155073
BM_10_589,0.405920825236397,0.208836043280628,0.267137210251533,0.050287265216513
BM_10_590,0.394926367116226,0.16392746592026,0.304016212469716,0.030500965324677
BM_10_591,0.437925698485465,0.212469757577874,0.226939251564725,0.031308120799105
BM_10_593,0.566728889076089,0.19400719266021,0.123962187083708,0.030127413852845
BM_10_597,0.564184666465456,0.195705864364557,0.15010410421105,0.025544004632721
BM_10_600,0.393450842074793,0.163229150614772,0.31885936987907,0.04653284297523
BM_10_602,0.424275728355847,0.176001244105996,0.297285647165767,0.032204314390385
BM_10_603,0.467414888027387,0.186229540393454,0.23871541135829,0.033620933057004
BM_10_604,0.43914923099545,0.237366908352104,0.144255599577011,0.05832156512077
BM_10_605,0.357880485359846,0.268880111973136,0.178904473595241,0.065746060814485
BM_10_607,0.301803301535211,0.23931655272592,0.317913047344845,0.052873329288625
BM_10_608,0.35905558555983,0.238992976461671,0.199402607486702,0.064708439756991
BM_10_609,0.482080632607107,0.188390901905561,0.206497424473556,0.02934954955936
BM_10_610,0.373874501538508,0.227367190875769,0.25656576245765,0.060321757616802
BM_10_615,0.483680741408024,0.187120831702847,0.219218407169562,0.028290655667962
BM_10_616,0.532667720060756,0.172524569340107,0.206579955809581,0.026450888808071
BM_10_619,0.368915950973218,0.167595149144526,0.345323481890853,0.037832033729575
BM_10_621,0.388687188536367,0.201223532048827,0.255696829432325,0.059517668685829
BM_10_623,0.508409214459492,0.177107189824125,0.201232928212603,0.032205570952051
BM_10_624,0.454874822672361,0.17628327048674,0.278976319070561,0.026539380093401
BM_10_627,0.350372956707935,0.303422093284312,0.195686418449341,0.05340533708999
BM_10_631,0.405644076291031,0.13301074349866,0.368977368323907,0.021700079383507
BM_10_638,0.406092404944792,0.201008964076767,0.256901789319671,0.044154041113704
BM_10_639,0.536316378798921,0.159200237838834,0.195972253402445,0.02581721621371
BM_10_643,0.491139019124154,0.21281802704528,0.179604487864318,0.038839380213828
BM_10_645,0.476084719784295,0.234409295074867,0.169903523933931,0.03734066012716
BM_10_647,0.216042543706509,0.352379416736551,0.207139039723249,0.081601868449624
BM_10_649,0.176396881709758,0.439947097972376,0.214253270153704,0.044077080438452
BM_10_650,0.349829161286842,0.273735954848743,0.228251434336149,0.048314275638528
BM_10_651,0.278194759652552,0.184012929394784,0.427046248884094,0.03893734264311
BM_10_652,0.352113714088143,0.24062673586911,0.264979988693624,0.044316664162611
BM_10_654,0.515236159501005,0.206486994020576,0.15519901182426,0.030768102440126
BM_10_656,0.503254075907751,0.185014719088475,0.172598380343759,0.040062665513862
BM_10_657,0.476612360403741,0.158361478936604,0.222661697886307,0.044190174908875
BM_10_658,0.346282012634852,0.303131242328011,0.201904264131099,0.048197916302249
BM_10_660,0.411473394900424,0.204083734261608,0.241120689156337,0.048436357985091
BM_10_661,0.400427250864105,0.207789665883939,0.275389315111859,0.041592476600865
BM_10_664,0.515159751999806,0.196931414116457,0.170481641465402,0.046838161941803
BM_10_666,0.493512551740076,0.176777928915364,0.191612965038473,0.052145159866904
BM_10_667,0.199090924365676,0.264089042552053,0.353028330314837,0.070560765287055
BM_10_668,0.348371706637224,0.211896189986738,0.316331425229351,0.039652602622837
BM_10_670,0.3694811194554,0.264650973507784,0.209069725822997,0.039581294138834
BM_10_671,0.482605484797406,0.208131792531102,0.19672100409264,0.035352854544948
BM_10_672,0.330662758033472,0.254678245285405,0.271334276428731,0.045155311187209
BM_10_674,0.112275911382654,0.425419044328316,0.180295166108322,0.068590861811618
BM_10_676,0.466623567454363,0.278802731257634,0.092029786629601,0.022756134417229
BM_10_677,0.131579051925214,0.362349520210788,0.223889419080516,0.107111837778246
BM_10_678,0.291965742124573,0.230199173080139,0.331632317627315,0.035511604665303
BM_10_679,0.500258108127211,0.197832383679854,0.158608102373661,0.06998703215383
BM_10_680,0.499838947240192,0.201409090772184,0.187416676596406,0.043377190444727
BM_10_681,0.496570344423956,0.188865945560016,0.208172561499187,0.039738586021578
BM_10_682,0.50055553821095,0.185722625925151,0.182009889907768,0.048283141244169
BM_10_684,0.317717943467647,0.265549817577965,0.253596068134133,0.051982342253641
BM_10_685,0.364159881146463,0.270055104635644,0.238732892340119,0.061610274935814
BM_10_686,0.481320650741433,0.169913108595704,0.227720433407967,0.040815772289581
BM_10_689,0.395354198603235,0.173358688315277,0.331023358928684,0.025135117095662
BM_10_691,0.313155663880444,0.180805934386386,0.267843043532484,0.037077997404584
BM_10_692,0.552283496815398,0.164485765962457,0.184336774792183,0.02294135579357
BM_10_695,0.462488656332314,0.139862493317516,0.287141216322576,0.047542264764997
BM_10_697,0.391386863100706,0.235509323512431,0.260815829005121,0.039272049835986
BM_10_699,0.528863825113821,0.199912869171623,0.123686980040681,0.056599424431078
BM_10_700,0.277487713009585,0.330196595035016,0.152222301194384,0.105153775891953
BM_10_701,0.54199956252395,0.177626321149383,0.173343970784603,0.034029198185498
BM_10_702,0.397662699424142,0.211437605343475,0.242537651130933,0.063355256883294
BM_10_703,0.615093073138099,0.146023226607422,0.142605194535615,0.03335506385077
BM_10_705,0.480824248180323,0.215518612268496,0.145839043026074,0.053599413353476
BM_10_706,0.363312979054013,0.219591040552838,0.282263631844237,0.046441806548111
BM_10_707,0.523213708237193,0.15615125044054,0.216606685352636,0.039228520751506
BM_10_708,0.429921160901075,0.262429386438292,0.125321978479965,0.079480717367889
BM_10_709,0.424834301342131,0.277680374384342,0.118592179607238,0.075414873028187
BM_10_710,0.547829538112025,0.213664202902788,0.128003644051438,0.041273286933025
BM_10_711,0.34467929481811,0.15486526009732,0.392089901900406,0.046883823441055
BM_10_712,0.488924845349545,0.169888677197953,0.211271010872547,0.052011642025337
BM_10_714,0.359375892899652,0.239256462546393,0.253791158496501,0.067845106231904
BM_10_715,0.506493295645558,0.211933579402796,0.156001141522226,0.052160624751966
BM_10_716,0.310754225765056,0.166385200130278,0.411785791412143,0.048173865165479
BM_10_717,0.45886172769878,0.283595106420186,0.135263562230924,0.02536859917376
BM_10_718,0.465468465676611,0.170051831061262,0.236701237237326,0.037103132200862
BM_10_719,0.352708552081664,0.308470790712808,0.180791835783038,0.053342782432225
BM_10_720,0.389512275025851,0.259538393930951,0.146000053447644,0.046226651704504
BM_10_722,0.303538204796141,0.213748880233058,0.316324832787643,0.070505991733518
BM_10_724,0.561057717113769,0.172430806273572,0.146731246080431,0.036613641565164
BM_10_727,0.283107204521413,0.188857429692386,0.419291469849289,0.044444489856516
BM_10_729,0.495822919963347,0.187526679555695,0.199801980096295,0.050813347049804
BM_10_730,0.398273428266527,0.224007711706504,0.150639882304154,0.076744630631005
BM_10_735,0.469323655882139,0.1786725893828,0.216394624692799,0.040721846177529
BM_10_738,0.358244294693268,0.171716821282043,0.373477666609074,0.030870177462243
BM_10_739,0.525368705522093,0.156197484970733,0.204584372328067,0.038611293560978
BM_10_740,0.425834808842528,0.18595676459589,0.251946101285677,0.059290571707866
BM_10_741,0.466702194193332,0.220414372926135,0.170536247442408,0.049518181603046
BM_10_743,0.289461138740062,0.233435990434017,0.340196572576969,0.036930236933914
BM_10_744,0.409114225205937,0.214830653086827,0.211735262337762,0.030318021550811
BM_10_746,0.526546606474613,0.216977967716404,0.134114622926743,0.035341556714309
BM_10_747,0.390540716190367,0.168164305995436,0.331166000587009,0.043526377708938
BM_10_748,0.446526266940026,0.189241126286193,0.180733080698129,0.06543496219787
BM_10_750,0.395761432694916,0.213425645126898,0.213123649957758,0.058913464459524
BM_10_751,0.357556903768419,0.215082894563861,0.260248068573468,0.043009186463237
BM_10_752,0.196511934629797,0.362675640303657,0.262323838873153,0.045877953140305
BM_10_753,0.480740724516252,0.20250580482938,0.207012382021819,0.039652553024507
BM_10_754,0.242995680695511,0.232182304823936,0.341882768059852,0.075349844352036
BM_10_755,0.350291660390223,0.265813454880148,0.211438618028653,0.056204992291683
BM_10_756,0.302319167667527,0.232849752694113,0.313087099422506,0.051653847414922
BM_10_758,0.186578343197331,0.367876821211556,0.266468389027097,0.055754687526773
BM_10_759,0.445962348195748,0.208681806670966,0.196885643002066,0.060951290618611
BM_10_760,0.082009119656446,0.337022317684957,0.438361003437943,0.028965992983787
BM_10_764,0.265617572404694,0.217730343020796,0.401163829502297,0.034133330502116
BM_10_765,0.508521558747081,0.230253818375819,0.132433450409808,0.037830207964121
BM_10_766,0.374889365253033,0.182929812571565,0.289169439709613,0.06453229290353
BM_10_767,0.32084294883592,0.269224017078006,0.201490156099017,0.089655603575662
BM_10_768,0.465323645631398,0.182744431879753,0.192374310060468,0.041359052938018
BM_10_771,0.262205100358591,0.305817328722632,0.268678485150063,0.048256896495828
BM_10_773,0.432803257618302,0.22318553331995,0.191678579236768,0.053555817939414
BM_10_778,0.463739832726362,0.151941744660791,0.27381712007014,0.030660237402917
BM_10_780,0.387944354426278,0.254416084820885,0.226047010999486,0.038600441002621
BM_10_781,0.226635209526033,0.362596418742197,0.257320071396354,0.022839268186074
BM_10_782,0.430209927104897,0.191837453506245,0.245201175103441,0.047285942958093
BM_10_786,0.41198003071685,0.216164348181892,0.228266482449361,0.068107976618564
BM_10_787,0.353646430510889,0.209832198080231,0.354541083951696,0.034165116404129
BM_10_789,0.164956950340144,0.423815709837261,0.188164262656227,0.044641007502647
BM_10_790,0.448289422868104,0.215200746604613,0.207318598656977,0.038712536288415
BM_10_792,0.489131700545508,0.179145345424047,0.219971288516503,0.033153599802747
BM_10_793,0.583472805886427,0.17032266955187,0.121602645070124,0.04181539356709
BM_10_796,0.29951943388153,0.306323316252339,0.257309991998153,0.033224995266347
BM_10_797,0.459844326595307,0.207462052036347,0.192905627957404,0.040829977847331
BM_10_798,0.308169808023209,0.238216741016567,0.274010679109573,0.059814627271657
BM_10_799,0.23654931229922,0.334903171682834,0.227128799326399,0.055185976157747
BM_10_800,0.474162120302517,0.213925768597277,0.149591911030728,0.04342029470271
BM_10_803,0.42489016695143,0.259078108512109,0.175538208055011,0.034081251220623
BM_10_805,0.266460119841844,0.300830854059028,0.225938629038237,0.04071373509527
BM_10_806,0.182774712308168,0.282494385383221,0.375604363807062,0.033035589326483
BM_10_807,0.305179166644293,0.331077559060278,0.165955614462385,0.052462439288594
BM_10_808,0.481910726699995,0.223547269073827,0.137404393423324,0.026209462942153
BM_10_809,0.504246734472984,0.207431176306519,0.168251588433074,0.054905326429914
BM_10_810,0.535570548210709,0.219476419244558,0.080198336705991,0.058569119504366
BM_10_811,0.363229564996135,0.253869797064556,0.211825540547406,0.043441074855657
BM_10_813,0.519361548535156,0.190209528095002,0.157243879793812,0.042318634920347
hB_RNA_12433,0.31758591677299,0.201591927705917,0.370263338411863,0.015644651297174
hB_RNA_12434,0.295610711950048,0.281387080628139,0.250701957907229,0.044493064552611
hB_RNA_12444,0.114459028006188,0.420789409586358,0.206975549992006,0.035517963829011
hB_RNA_12494,0.48080680396947,0.211361459355592,0.151562608348145,0.029558291891724
hB_RNA_12504,0.329360117563802,0.268644912387528,0.238437138437822,0.046082179691272
hB_RNA_12536,0.420540365978427,0.255933004365177,0.144485547260109,0.052823086434827
hB_RNA_12545,0.401744013795052,0.269570736488378,0.220012454828373,0.011308952768185
hB_RNA_12582,0.456821327586244,0.207425704261873,0.189354025618164,0.03290599909828
hB_RNA_12638,0.440083573436889,0.225816790597266,0.164049381503041,0.036674925049933
hB_RNA_12662,0.325551632528335,0.337621742596884,0.130492508964827,0.06864866539848
hB_RNA_12664,0.475195894852549,0.198451048638266,0.205395868186568,0.02969898305015
hB_RNA_12693,0.459321372687829,0.264002529795058,0.096382607504559,0.040496496939026
hB_RNA_12720,0.544627841557343,0.197790032897861,0.108962529042914,0.036380649366671
hB_RNA_12724,0.512714223541113,0.229946117126118,0.111435056898538,0.026862567153524
hB_RNA_12774,0.392328455726348,0.243357447977897,0.171111916757276,0.039986624143169
hB_RNA_12794,0.433154201280846,0.208755674642497,0.224149226929909,0.033777279076175
hB_RNA_12804,0.3650226897165,0.232880350759638,0.173051627992466,0.082949476067673
hB_RNA_12917,0.368898559120828,0.250281847739534,0.242010748149896,0.032785576155474
hB_RNA_12924,0.364861655599934,0.394022754090699,0.135292605089274,0.02032963974716
hB_RNA_12934,0.421064343729983,0.289177345260159,0.140969212618305,0.022472833695438
hB_RNA_12944,0.402045714596096,0.25146830557701,0.182386119199966,0.04417305205565
hB_RNA_12954,0.328073507589855,0.274713476359895,0.178189617340059,0.062745775220764
hB_RNA_12986,0.509670363902132,0.211546672920267,0.108966578287138,0.038053685782281
hB_RNA_12994,0.288845869306388,0.308794224703101,0.244285594236051,0.028647115394622
hB_RNA_13007,0.223385169253163,0.33570381000293,0.24414225770571,0.026337348011582
hB_RNA_13018,0.384706293709658,0.206263961990881,0.230841723837166,0.033409993460247
hB_RNA_13068,0.389803183796311,0.296693879040914,0.151690228642815,0.03027680065675
hB_RNA_13086,0.344463187129669,0.265767029431592,0.242096189187795,0.029817302013861
hB_RNA_13102,0.41254288224764,0.178940485501477,0.265501656086998,0.033570649768706
hB_RNA_13132,0.258789006974886,0.281787332715778,0.24790609675367,0.060633187893934
hB_RNA_13158,0.391339130439779,0.210564628211468,0.241327827699316,0.036025606087971
hB_RNA_13174,0.250580406941383,0.168252615272551,0.428409179293077,0.048864656238194
hB_RNA_13193,0.563755159029293,0.2291207980064,0.061049560119044,0.033160963153444
hB_RNA_13201,0.240716441053214,0.318382506220655,0.22690345730732,0.054425558997269
hB_RNA_13210,0.36839058059372,0.264719652664422,0.197944189155329,0.051949387929338
hB_RNA_13262,0.40109353352193,0.216041944813031,0.139475990623779,0.069281233256347
hB_RNA_13309,0.584758709726218,0.187640890171997,0.112574991794859,0.032620066850584
hB_RNA_13351,0.285890657894354,0.289950589064487,0.167413114921875,0.057560360102777
hB_RNA_13418,0.118111132679751,0.394496012125878,0.241400903717826,0.061847112347673
hB_RNA_13444,0.075296156278883,0.382051204468206,0.226267944559552,0.045690286445871
hB_RNA_13458,0.389748619724014,0.285969703685601,0.103868821154074,0.032972773134518
hB_RNA_13465,0.350679517110474,0.232991930075373,0.27433048239206,0.030286515305908
hB_RNA_13491,0.185735581992972,0.320764064541226,0.309696143231471,0.039452414463311
hB_RNA_13525,0.226138348785957,0.273998222964757,0.347705718402637,0.047085646461667
hB_RNA_13542,0.388461809571936,0.252532510201803,0.196257937755661,0.036188479918652
hB_RNA_13557,0.413897460277841,0.149137224945554,0.329225445829769,0.018167205790361
hB_RNA_13571,0.374684315786299,0.263473571427,0.19893817210163,0.027845606151511
hB_RNA_13574,0.565668364019434,0.223914773982326,0.06682772237896,0.028642103918621
