specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_16975,0.484317959,0.189098324,0.188658486,0.032299416
hB_RNA_16985,0.243480641,0.184213418,0.423155447,0.02794106
hB_RNA_16995,0.318973262,0.144339479,0.409846931,0.038752691
hB_RNA_17005,0.475851239,0.1913313,0.205750001,0.028784922
hB_RNA_17015,0.455478947,0.198902398,0.221881782,0.031262585
hB_RNA_17035,0.284800258,0.186387099,0.432481597,0.027392359
hB_RNA_17045,0.241049047,0.156113584,0.489602716,0.040639964
hB_RNA_17055,0.388113488,0.159113212,0.342170483,0.023930548
hB_RNA_17095,0.32844151,0.162583113,0.368821235,0.031942406
hB_RNA_17105,0.262294947,0.205914472,0.351026297,0.04685562
hB_RNA_17115,0.327729107,0.160723176,0.396237005,0.026043395
hB_RNA_17135,0.287225257,0.139855,0.466158078,0.01668063
hB_RNA_16015,0.176417613,0.297809719,0.209203341,0.063918116
hB_RNA_16035,0.382540507,0.173259572,0.308304672,0.022139079
hB_RNA_16045,0.383752,0.16918544,0.335778661,0.026598962
hB_RNA_16055,0.458405998,0.17409059,0.239560713,0.025531981
hB_RNA_16065,0.42858018,0.176262403,0.267520561,0.025492096
hB_RNA_16075,0.382975099,0.243026378,0.213815363,0.040316959
hB_RNA_16095,0.582555903,0.154993981,0.138505097,0.023036792
hB_RNA_16105,0.469254021,0.172538941,0.230172485,0.021522564
hB_RNA_16115,0.200685468,0.131957101,0.576496773,0.03969881
hB_RNA_16125,0.329329753,0.165191232,0.382582392,0.032217221
hB_RNA_16145,0.411152316,0.233781555,0.219883926,0.027304285
hB_RNA_16155,0.391726389,0.160519334,0.305481609,0.033905518
hB_RNA_16165,0.151259402,0.171547158,0.549573024,0.036746081
hB_RNA_16175,0.34390292,0.174397183,0.340109337,0.030104756
hB_RNA_16185,0.350139093,0.164499087,0.370173448,0.029610523
hB_RNA_16195,0.312878811,0.134489072,0.453912104,0.017021001
hB_RNA_16215,0.48054157,0.214281938,0.139610056,0.039008823
hB_RNA_16225,0.358190203,0.183640868,0.328077405,0.033911957
hB_RNA_16235,0.254652445,0.214102908,0.33816073,0.070177978
hB_RNA_16255,0.330361398,0.182097097,0.334147371,0.029835702
hB_RNA_16265,0.217927279,0.195262184,0.456450195,0.022101504
hB_RNA_16275,0.381206599,0.172587626,0.330755416,0.024278648
hB_RNA_16285,0.376111084,0.157304531,0.361364089,0.021548816
hB_RNA_16295,0.327868158,0.240380711,0.271851002,0.040959494
hB_RNA_16315,0.472178074,0.166153355,0.258695507,0.016672674
hB_RNA_16325,0.358433184,0.193983314,0.273930728,0.04532951
hB_RNA_16335,0.436728312,0.149079809,0.240081157,0.051767249
hB_RNA_16345,0.314300657,0.202566105,0.358624195,0.036137842
hB_RNA_16355,0.309862449,0.322842047,0.157842792,0.047558406
hB_RNA_16375,0.248279979,0.150442753,0.466380159,0.053280643
hB_RNA_16385,0.462129527,0.18134228,0.222037918,0.0300888
hB_RNA_16395,0.109909854,0.187576994,0.577282369,0.044878564
hB_RNA_16415,0.360736932,0.235175049,0.264547429,0.037572333
hB_RNA_16425,0.447114992,0.258357107,0.165597011,0.046329639
hB_RNA_16435,0.198173327,0.248843249,0.381534618,0.044716991
hB_RNA_16455,0.24150927,0.270292805,0.331842244,0.050970254
hB_RNA_16465,0.312403014,0.242787704,0.284389839,0.045856737
hB_RNA_16475,0.258709405,0.18640732,0.41617937,0.05151019
hB_RNA_16495,0.22657878,0.217517135,0.405661825,0.027425044
hB_RNA_16505,0.410828974,0.144831902,0.352533894,0.022893395
hB_RNA_16515,0.281900817,0.244624482,0.328377565,0.033619718
hB_RNA_16585,0.403972324,0.158326544,0.323669544,0.022176427
hB_RNA_16595,0.36993705,0.153395097,0.377408282,0.021356313
hB_RNA_16605,0.153457124,0.250043471,0.467077003,0.031602088
hB_RNA_16625,0.235923816,0.202439455,0.440699999,0.031417754
hB_RNA_16635,0.116892545,0.245185024,0.489340373,0.032050997
hB_RNA_5041,0.456493488,0.200598084,0.219492549,0.034167004
hB_RNA_8555,0.47319901,0.183294606,0.20023686,0.040841663
hB_RNA_4782,0.437407812,0.133083979,0.321927538,0.013156447
hB_RNA_8825,0.20803704,0.29726145,0.354907953,0.02198146
hB_RNA_8845,0.398775344,0.223756685,0.217627504,0.0506032
hB_RNA_8865,0.36350408,0.281946383,0.122875094,0.073293252
hB_RNA_8875,0.420774689,0.205786941,0.256185182,0.033768945
hB_RNA_8885,0.352385854,0.240330986,0.258970819,0.050539838
hB_RNA_8895,0.416932589,0.190676666,0.263939551,0.035411863
hB_RNA_8945,0.330523954,0.261448313,0.217622975,0.061307043
hB_RNA_8955,0.312031031,0.216569891,0.315332444,0.039112289
hB_RNA_8975,0.206220176,0.269101721,0.359049215,0.054599853
hB_RNA_8985,0.379607853,0.354428976,0.169119814,0.018597037
hB_RNA_8995,0.431462693,0.189418534,0.233727758,0.039053384
hB_RNA_9015,0.165847764,0.316980259,0.343631159,0.025872176
hB_RNA_9025,0.485817873,0.23220938,0.145551597,0.03568451
hB_RNA_9035,0.156568498,0.239904778,0.388354241,0.062599167
hB_RNA_16485,0.490920688,0.207011974,0.165262265,0.038771087
hB_RNA_17145,0.180184989,0.210158933,0.483673761,0.039399277
